instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-sparse-n500,500,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,56.9,1,8,0,0,23764,0.931,256,10022,10532,10769,2,0.439,68.0,0.284,0.97,0.694,14302,13517,10247,1081,120.46,0.072,0.225,0.395,119.608,0.003
battery-sparse-n500,500,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,56.9,2,8,0,0,22447,0.891,434,9580,10427,10754,1,0.296,49.88,0.272,0.954,0.694,12985,13517,8930,840,120.46,0.079,0.227,0.446,119.556,0.003
battery-sparse-n500,500,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,56.9,3,8,0,0,21262,0.845,564,9021,10342,10673,0,0.311,20.5,0.262,0.94,0.694,11800,13517,7745,720,120.48,0.072,0.227,0.401,119.605,0.006
battery-sparse-n500,500,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,56.9,4,8,0,0,21832,0.916,262,9721,10231,10608,1,0.257,52.62,0.267,0.947,0.694,12370,13517,8315,1200,120.44,0.066,0.218,0.419,119.583,0.002
battery-sparse-n500,500,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,56.9,5,8,0,0,20657,0.734,932,7879,10520,10729,1,0.6,37.5,0.256,0.933,0.694,11195,13517,7140,1920,120.43,0.076,0.23,0.445,119.546,0.002
area-26-n157,157,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,48.1,1,3,0,0,4485,0.846,541,7037,7967,8321,0,0.048,4.0,0.192,0.72,0.581,2102,3618,867,2760,120.09,0.007,0.02,0.062,119.939,0.001
area-26-n157,157,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,48.1,2,3,0,0,4460,0.793,750,6945,7597,8758,0,0.311,19.0,0.191,0.719,0.581,2077,3618,842,2760,120.08,0.008,0.026,0.06,119.943,0.001
area-26-n157,157,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,48.1,3,3,0,0,4277,0.794,759,6935,7444,8738,0,0.034,3.67,0.185,0.713,0.581,1894,3618,659,2760,120.08,0.008,0.018,0.056,119.946,0.001
area-26-n157,157,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,48.1,4,3,0,0,4376,0.833,591,6928,7967,8321,0,0.048,4.0,0.188,0.716,0.581,1993,3618,758,2760,120.08,0.007,0.02,0.051,119.951,0.001
area-26-n157,157,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,48.1,5,3,0,0,4272,0.793,760,6933,7441,8738,0,0.034,3.67,0.185,0.713,0.581,1889,3618,654,2760,120.08,0.007,0.019,0.057,119.945,0.001
