instance,n,axis,cell,strategy,balance_arm,span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual+reseq,spatial_term,actual,0,True,0.0,112.6,2,2,0,4359,0.992,20,4,0.19,10.5,0.421,0.479,0.278,2335,8400,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,actual+reseq,spatial_term,actual,0,True,0.0,112.6,3,2,0,4359,0.992,20,4,0.19,10.5,0.421,0.479,0.278,2335,8400,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,112.6,1,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.06,0.001,0.005,0.01,104.989,0.0
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,112.6,2,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,112.6,3,1,0,3419,1.0,0,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,112.6,1,1,0,3333,1.0,0,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.05,0.001,0.005,0.009,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,112.6,2,1,0,3333,1.0,0,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.02,0.001,0.002,0.008,104.99,0.0
battery-n50,50,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,112.6,3,1,0,3333,1.0,0,3,0.0,0.0,0.357,0.864,0.556,1266,1200,105.02,0.001,0.002,0.008,104.99,0.0
battery-n100,100,config,actual,spatial_term,actual,0,False,0.0,67.3,1,2,0,4244,0.946,226,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.07,0.003,0.009,0.022,119.977,0.0
battery-n100,100,config,actual,spatial_term,actual,0,False,0.0,67.3,2,2,0,4244,0.946,226,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.05,0.003,0.007,0.02,119.978,0.0
battery-n100,100,config,actual,spatial_term,actual,0,False,0.0,67.3,3,2,0,4244,0.946,226,3,0.017,3.0,0.261,0.752,0.556,1784,2400,120.05,0.003,0.007,0.02,119.979,0.001
battery-n100,100,config,actual+reseq,spatial_term,actual,0,True,0.0,67.3,1,2,0,3944,0.969,127,2,0.02,3.0,0.247,0.738,0.556,1484,2400,120.09,0.003,0.01,0.022,119.977,0.002
