instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,1,8,0,0,23764,0.931,256,10022,10532,10769,2,0.439,68.0,0.284,0.97,0.694,14302,13517,10247,1081,120.45,0.06,0.17,0.305,119.804,0.002
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,2,8,0,0,22447,0.891,434,9580,10427,10754,1,0.296,49.88,0.272,0.954,0.694,12985,13517,8930,840,120.36,0.055,0.172,0.318,119.681,0.002
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,3,8,0,0,21262,0.845,564,9021,10342,10673,0,0.311,20.5,0.262,0.94,0.694,11800,13517,7745,720,120.33,0.053,0.166,0.316,119.684,0.002
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,4,8,0,0,21832,0.916,262,9721,10231,10608,1,0.257,52.62,0.267,0.947,0.694,12370,13517,8315,1200,120.33,0.053,0.164,0.31,119.69,0.002
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,5,8,0,0,20657,0.734,932,7879,10520,10729,1,0.6,37.5,0.256,0.933,0.694,11195,13517,7140,1920,120.35,0.052,0.172,0.31,119.69,0.002
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,1,3,0,0,4485,0.846,541,7037,7967,8321,0,0.048,4.0,0.192,0.72,0.581,2102,3618,867,2760,120.06,0.006,0.016,0.042,119.957,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,2,3,0,0,4485,0.828,605,6957,7967,8401,1,0.048,4.0,0.192,0.72,0.581,2102,3618,867,2760,120.06,0.006,0.016,0.042,119.956,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,3,3,0,0,4277,0.794,759,6935,7444,8738,0,0.034,3.67,0.185,0.713,0.581,1894,3618,659,2760,120.08,0.012,0.024,0.051,119.949,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,4,3,0,0,4376,0.833,591,6928,7967,8321,0,0.048,4.0,0.188,0.716,0.581,1993,3618,758,2760,120.06,0.006,0.017,0.046,119.952,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,5,3,0,0,4272,0.793,760,6933,7441,8738,0,0.034,3.67,0.185,0.713,0.581,1889,3618,654,2760,64.38,0.006,0.016,0.043,64.273,0.001
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,1,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,60.0,0.002,0.004,0.015,59.953,0.0
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,2,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,34.77,0.002,0.004,0.015,34.726,0.0
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,3,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,55.25,0.002,0.004,0.015,55.202,0.0
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,4,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,60.0,0.002,0.005,0.014,59.957,0.0
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,5,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,46.18,0.002,0.004,0.015,46.118,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,43.81,0.004,0.002,0.008,43.782,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,2,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,30.02,0.001,0.001,0.007,29.985,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,3,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,60.02,0.002,0.002,0.011,59.986,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,4,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.002,0.007,93.994,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,5,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.002,0.007,93.995,0.0
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,1,25,0,0,60391,0.813,569,8719,10352,10720,2,0.59,83.2,0.238,0.938,0.714,33335,30823,29568,6960,122.69,0.6,1.689,2.792,117.212,0.006
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,2,25,0,0,58921,0.626,943,6732,10386,10762,8,0.355,67.56,0.234,0.932,0.714,31865,30823,28098,11280,122.71,0.593,1.683,2.859,117.182,0.006
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,3,25,0,1,59335,0.67,805,7168,10386,10694,8,0.521,70.56,0.235,0.934,0.714,32279,30823,28512,11640,122.68,0.6,1.679,2.903,117.106,0.006
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,4,25,0,0,61025,0.698,738,7504,10415,10749,22,0.411,80.16,0.24,0.94,0.714,33969,30823,30202,8640,122.77,0.607,1.765,2.811,117.201,0.006
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,5,25,0,0,60184,0.808,577,8661,10320,10719,5,0.365,93.04,0.238,0.937,0.714,33128,30823,29361,7080,122.68,0.585,1.69,2.8,117.205,0.006
