instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,3,1,per-start,94,1,0,0,2042,1.0,0,7202,7202,7202,4,0.0,0.0,0.284,0.667,0.478,1654,789,1253,2040,94.03,0.003,0.005,0.012,93.987,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,3,1,per-start,120,25,0,0,60299,0.835,556,8984,10095,10761,80,0.49,108.08,0.238,0.938,0.714,33243,30823,29476,10080,124.31,0.951,2.707,4.414,115.59,0.011
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,4,1,per-start,105,2,0,0,8384,1.0,0,7192,7192,7192,7,0.21,18.0,0.583,0.666,0.278,6360,1975,6409,8400,105.1,0.002,0.007,0.013,104.987,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,4,1,per-start,120,2,0,0,4199,0.826,772,7328,8100,8871,4,0.049,5.0,0.259,0.75,0.556,1739,2601,1598,2400,120.08,0.005,0.013,0.035,119.964,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,4,1,per-start,120,4,0,0,7914,0.84,571,7221,8047,8599,4,0.292,34.5,0.248,0.739,0.556,4436,4541,3373,4800,120.12,0.015,0.039,0.094,119.906,0.001
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,4,1,per-start,120,7,0,0,14055,0.969,89,8690,8888,8965,3,0.442,50.29,0.226,0.821,0.635,8537,7314,6741,3480,120.36,0.053,0.165,0.32,119.68,0.002
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,4,1,per-start,120,12,0,0,22209,0.814,743,8760,9618,10762,69,0.556,84.5,0.188,0.912,0.741,13246,12392,9817,1080,121.14,0.235,0.662,1.183,118.753,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,4,1,per-start,120,15,0,0,27056,0.839,685,8986,9980,10712,55,0.654,91.67,0.184,0.908,0.741,16104,15438,11618,1320,121.71,0.33,1.014,1.758,118.244,0.006
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,4,1,per-start,120,6,0,0,15627,0.912,274,7220,7684,7919,0,0.181,17.33,0.342,0.704,0.463,7251,10927,4700,13200,120.22,0.023,0.065,0.136,119.863,0.001
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,4,1,per-start,120,9,0,0,21498,0.93,206,8957,8974,9632,10,0.475,61.0,0.264,0.838,0.617,12056,13401,8097,5160,120.58,0.095,0.303,0.486,119.513,0.003
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,4,1,per-start,120,3,0,0,4723,0.873,479,7177,8166,8220,0,0.311,19.0,0.2,0.727,0.581,2340,3618,1105,2760,120.1,0.009,0.024,0.061,119.938,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,4,1,per-start,120,2,0,0,5736,0.999,2,7186,7188,7190,9,0.573,21.5,0.399,0.665,0.4,5205,914,4822,5760,120.04,0.003,0.007,0.021,119.977,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,4,1,per-start,94,1,0,0,2023,1.0,0,7183,7183,7183,7,0.0,0.0,0.282,0.665,0.478,1635,789,1234,2040,94.03,0.002,0.003,0.009,93.989,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,4,1,per-start,120,25,0,0,62648,0.848,394,9125,10203,10762,76,0.421,181.64,0.245,0.946,0.714,35592,30823,31825,10800,124.37,0.907,2.792,4.457,115.565,0.01
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,5,1,per-start,105,2,0,0,8397,0.999,4,7194,7198,7203,3,0.219,19.5,0.583,0.667,0.278,6373,1975,6422,8400,105.1,0.002,0.007,0.015,104.985,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,5,1,per-start,120,2,0,0,4321,0.955,188,7973,8160,8348,3,0.017,3.0,0.265,0.756,0.556,1861,2601,1720,2400,120.06,0.004,0.013,0.045,119.954,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,5,1,per-start,120,4,0,0,7954,0.899,323,7666,7881,8526,1,0.099,19.75,0.249,0.74,0.556,4476,4541,3413,4800,120.14,0.015,0.046,0.1,119.9,0.001
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,5,1,per-start,120,7,0,0,14491,0.977,71,8774,8968,8980,10,0.474,99.0,0.232,0.826,0.635,8973,7314,7177,3000,120.37,0.055,0.168,0.338,119.667,0.003
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,5,1,per-start,120,12,0,0,21500,0.84,638,8996,9616,10713,66,0.551,75.33,0.183,0.906,0.741,12537,12392,9108,240,121.14,0.234,0.667,1.258,118.68,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,5,1,per-start,120,15,0,0,27930,0.844,677,9016,9971,10683,60,0.518,99.4,0.189,0.913,0.741,16978,15438,12492,1320,121.77,0.355,1.074,1.89,118.112,0.007
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,5,1,per-start,120,6,0,0,16238,0.863,389,7184,7745,8329,0,0.202,9.67,0.351,0.713,0.463,7862,10927,5311,13201,120.19,0.021,0.065,0.137,119.861,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,5,1,per-start,120,8,0,0,19373,0.835,693,8991,9996,10771,15,0.398,22.25,0.244,0.919,0.694,9911,13517,5856,1200,120.55,0.096,0.266,0.531,119.472,0.003
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,5,1,per-start,120,3,0,0,4879,0.822,646,7204,7752,8763,3,0.404,21.67,0.206,0.732,0.581,2496,3618,1261,2760,120.09,0.01,0.024,0.067,119.931,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,5,1,per-start,120,2,0,0,5735,1.0,0,7187,7188,7188,10,0.644,26.5,0.399,0.665,0.4,5204,914,4821,5760,120.05,0.005,0.005,0.032,119.969,0.001
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,5,1,per-start,94,1,0,0,2022,1.0,0,7182,7182,7182,3,0.0,0.0,0.282,0.665,0.478,1634,789,1233,2040,94.02,0.001,0.003,0.013,93.987,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,5,1,per-start,120,25,0,0,61851,0.838,508,8999,10309,10741,69,0.466,129.2,0.243,0.943,0.714,34795,30823,31028,9720,124.32,0.916,2.73,4.58,115.432,0.011
