instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,4,3,0,0,5449,0.859,524,7367,8344,8578,0,0.38,37.33,0.224,0.75,0.581,3066,3618,1831,2760,120.09,0.007,0.02,0.052,119.95,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,5,3,0,0,5175,0.88,425,7426,8154,8434,1,0.019,3.0,0.215,0.741,0.581,2792,3618,1557,2761,120.07,0.007,0.02,0.061,119.941,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,1,2,0,0,5757,0.997,10,7189,7198,7208,17,0.498,13.0,0.4,0.667,0.4,5226,914,4843,5760,120.04,0.002,0.006,0.017,119.989,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,2,2,0,0,5751,0.997,12,7184,7196,7207,4,0.595,25.0,0.4,0.666,0.4,5220,914,4837,5760,120.04,0.002,0.005,0.019,119.983,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,3,2,0,0,5738,0.999,2,7187,7189,7191,13,0.755,26.0,0.399,0.665,0.4,5207,914,4824,5760,120.02,0.002,0.004,0.019,119.972,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,4,2,0,0,5734,0.999,4,7183,7187,7191,10,0.791,29.5,0.399,0.665,0.4,5203,914,4820,5760,120.03,0.002,0.004,0.017,119.984,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,5,2,0,0,5735,1.0,2,7186,7188,7189,5,0.54,22.0,0.399,0.665,0.4,5204,914,4821,5760,120.03,0.002,0.005,0.019,119.982,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,1,1,0,0,2028,1.0,0,7188,7188,7188,5,0.0,0.0,0.282,0.666,0.478,1640,789,1239,2040,94.02,0.001,0.002,0.008,93.994,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,2,1,0,0,2024,1.0,0,7184,7184,7184,5,0.0,0.0,0.282,0.665,0.478,1636,789,1235,2040,94.02,0.001,0.002,0.008,93.991,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,3,1,0,0,2028,1.0,0,7188,7188,7188,5,0.0,0.0,0.282,0.666,0.478,1640,789,1239,2040,94.02,0.001,0.002,0.008,93.992,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,4,1,0,0,2035,1.0,0,7195,7195,7195,4,0.0,0.0,0.283,0.666,0.478,1647,789,1246,2040,94.02,0.001,0.002,0.008,93.992,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,5,1,0,0,2025,1.0,0,7185,7185,7185,4,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,94.02,0.001,0.002,0.008,93.992,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,1,25,0,0,61532,0.836,493,9002,10177,10769,86,0.385,121.16,0.242,0.942,0.714,34476,30823,30709,7920,123.43,0.735,2.208,3.368,116.638,0.007
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,2,25,0,0,61717,0.845,510,9075,10302,10744,93,0.49,87.76,0.242,0.943,0.714,34661,30823,30894,9960,123.42,0.707,2.222,3.644,116.391,0.008
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,3,25,0,0,60328,0.84,532,9014,10229,10728,80,0.456,108.4,0.238,0.938,0.714,33272,30823,29505,9360,123.44,0.768,2.209,3.342,116.666,0.008
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,4,25,0,0,59764,0.835,498,8979,10118,10756,68,0.458,109.4,0.237,0.935,0.714,32708,30823,28941,10440,123.39,0.725,2.185,3.669,116.34,0.008
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,5,25,0,0,61206,0.846,537,9113,10214,10770,61,0.521,150.28,0.241,0.941,0.714,34150,30823,30383,10800,123.39,0.765,2.158,3.528,116.479,0.008
