instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,4,1,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.003,0.011,93.989,0.0
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,4,1,per-start,120,25,0,1,63033,0.761,574,8186,10333,10762,23,0.366,106.92,0.246,0.948,0.714,35977,30823,32210,10560,124.29,0.949,2.701,4.326,115.677,0.009
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,5,1,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.11,0.002,0.007,0.014,104.987,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,5,1,per-start,120,2,0,0,4342,0.762,1105,7066,8171,9276,0,0.067,6.5,0.266,0.756,0.556,1882,2601,1741,2640,120.07,0.005,0.014,0.036,119.963,0.001
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,5,1,per-start,120,4,0,0,7877,0.71,963,6659,7920,9378,2,0.079,20.75,0.247,0.738,0.556,4399,4541,3336,5520,120.13,0.016,0.044,0.099,119.9,0.001
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,5,1,per-start,120,6,0,0,12945,0.864,513,9285,10236,10751,3,0.68,42.33,0.212,0.941,0.741,7413,7477,5468,0,120.38,0.061,0.164,0.329,119.671,0.003
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,5,1,per-start,120,12,0,0,24627,0.618,1081,6642,10362,10751,14,0.389,66.08,0.204,0.931,0.741,15664,12392,12235,3480,121.19,0.24,0.696,1.186,118.747,0.005
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,5,1,per-start,120,15,0,0,27398,0.639,1125,6879,10369,10766,8,0.46,68.53,0.186,0.91,0.741,16446,15438,11960,3840,121.8,0.364,1.078,1.817,118.184,0.007
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,5,1,per-start,120,5,0,0,16101,0.724,1084,7655,9451,10568,0,0.138,16.2,0.349,0.854,0.556,7691,11132,4969,6000,120.2,0.023,0.063,0.137,119.862,0.002
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,5,1,per-start,120,8,0,0,21313,0.741,901,7982,10567,10767,4,0.519,34.0,0.262,0.941,0.694,11851,13517,7796,1800,120.51,0.088,0.246,0.498,119.502,0.003
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,5,1,per-start,120,3,0,0,4419,0.838,572,6970,7967,8322,0,0.048,4.0,0.19,0.718,0.581,2036,3618,801,2760,120.1,0.01,0.027,0.065,119.933,0.001
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,5,1,per-start,120,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,120.04,0.003,0.005,0.03,119.969,0.001
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,5,1,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.002,0.004,0.01,93.988,0.0
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,5,1,per-start,120,25,0,0,64341,0.818,558,8775,10575,10723,21,0.366,131.04,0.25,0.952,0.714,37285,30823,33518,8760,124.29,0.927,2.708,4.573,115.431,0.01
