instance,n,axis,cell,strategy,balance_arm,span_coef,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n200,200,config,service-floor,spatial_term,service-floor,0,3,4,0,7890,0.867,541,2,0.021,1.5,0.247,0.739,0.556,4412,4800,120.08,0.009,0.027,0.059,119.939,0.001
battery-n200,200,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,1,5,0,7728,0.953,411,4,0.115,15.0,0.244,0.588,0.444,4268,12000,120.08,0.009,0.028,0.063,119.936,0.001
battery-n200,200,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,2,5,0,7728,0.953,411,4,0.115,15.0,0.244,0.588,0.444,4268,12000,120.08,0.009,0.026,0.06,119.939,0.001
battery-n200,200,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,3,5,0,7728,0.953,411,4,0.115,15.0,0.244,0.588,0.444,4268,12000,120.09,0.009,0.026,0.061,119.937,0.001
battery-n200,200,config,span-c100,spatial_term,actual,100,1,4,0,7168,0.946,170,5,0.487,25.5,0.23,0.722,0.556,3690,4800,120.09,0.009,0.03,0.083,119.918,0.001
battery-n200,200,config,span-c100,spatial_term,actual,100,2,4,0,7168,0.946,170,5,0.487,25.5,0.23,0.722,0.556,3690,4800,120.11,0.009,0.029,0.084,119.943,0.001
battery-n200,200,config,span-c100,spatial_term,actual,100,3,4,0,7168,0.946,170,5,0.487,25.5,0.23,0.722,0.556,3690,4800,120.08,0.009,0.027,0.079,119.919,0.001
battery-n200,200,algo,global,global,actual,0,1,4,0,7029,0.897,308,16,0.079,9.0,0.227,0.718,0.556,3551,4800,120.05,0.009,0.001,0.034,119.965,0.001
battery-n200,200,algo,global,global,actual,0,2,4,0,7029,0.897,308,16,0.079,9.0,0.227,0.718,0.556,3551,4800,120.06,0.009,0.001,0.036,119.964,0.001
battery-n200,200,algo,global,global,actual,0,3,4,0,7029,0.897,308,16,0.079,9.0,0.227,0.718,0.556,3551,4800,120.06,0.009,0.001,0.035,119.964,0.001
