instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,7,,,0,0,True,0.0,29.8,1,,,,,1,1,per-start,120,2,0,0,0,2297,0.826,1.0,522,4946,5468,5991,5,2,0.37,8.5,0.21,0.507,0.4,1766,914,1383,5760,120.07,0.002,0.004,0.013,119.991,0.002,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,7,,,0,0,True,0.0,29.8,1,,,,,2,1,per-start,120,2,0,0,0,2033,0.777,1.0,668,4668,5336,6005,6,3,0.38,9.5,0.19,0.494,0.4,1502,914,1119,5760,120.05,0.003,0.009,0.017,119.984,0.001,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,7,,,0,0,True,0.0,29.8,1,,,,,3,1,per-start,120,2,0,0,0,2386,0.818,1.0,553,4960,5513,6066,6,4,0.37,8.5,0.216,0.511,0.4,1855,914,1472,5760,120.0,0.002,0.004,0.012,119.946,0.001,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,6,,,0,0,True,0.0,27.6,1,,,,,1,1,per-start,94,1,0,0,0,1083,1.0,1.0,0,6243,6243,6243,10,2,0.0,0.0,0.173,0.578,0.478,695,789,294,2040,94.02,0.001,0.002,0.007,93.994,0.0,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,6,,,0,0,True,0.0,27.6,1,,,,,2,1,per-start,94,1,0,0,0,1144,1.0,1.0,0,6304,6304,6304,8,6,0.0,0.0,0.181,0.584,0.478,756,789,355,2040,94.03,0.001,0.002,0.006,93.995,0.001,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,6,,,0,0,True,0.0,27.6,1,,,,,3,1,per-start,94,1,0,0,0,1083,1.0,1.0,0,6243,6243,6243,9,2,0.0,0.0,0.173,0.578,0.478,695,789,294,2040,94.04,0.001,0.002,0.007,93.996,0.001,0.0
reference-n1607,1607,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,36,,,0,0,True,0.0,44.1,1,,,,,1,1,per-start,120,25,0,0,0,59561,0.831,0.837,597,8934,10248,10751,72,45,0.41,121.8,0.236,0.935,0.714,32505,30823,28738,10800,123.2,0.604,1.817,1.7,118.306,0.026,0.0
reference-n1607,1607,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,36,,,0,0,True,0.0,44.1,1,,,,,2,1,per-start,120,24,0,0,0,55566,0.902,0.925,299,9698,10392,10751,72,42,0.64,89.92,0.224,0.958,0.744,28492,30928,24638,6720,123.05,0.765,1.675,1.562,118.442,0.013,0.0
reference-n1607,1607,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,36,,,0,0,True,0.0,44.1,1,,,,,3,1,per-start,120,24,0,0,0,56928,0.89,0.895,392,9572,10520,10755,71,32,0.31,135.92,0.228,0.964,0.744,29854,30928,26000,7080,123.13,0.836,1.708,1.586,118.418,0.009,0.0
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,1,1,per-start,105,2,0,0,0,4575,0.955,1.0,122,5166,5288,5409,2,2,0.22,21.5,0.433,0.489,0.278,2551,1975,2600,8400,105.1,0.001,0.011,0.011,104.989,0.001,0.0
