instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,3,1,per-start,120,3,0,0,0,5092,0.877,0.964,436,7387,8119,8426,4,5,0.04,6.67,0.213,0.739,0.581,2709,3618,1474,2760,120.03,0.006,0.016,0.045,119.924,0.001,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,1,1,per-start,120,2,0,0,0,2790,0.91,1.0,268,5447,5715,5983,5,5,0.75,26.5,0.244,0.529,0.4,2259,914,1876,5760,120.02,0.002,0.004,0.014,119.986,0.0,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,2,1,per-start,120,2,0,0,0,2390,0.827,1.0,521,4994,5515,6036,3,3,0.54,22.0,0.217,0.511,0.4,1859,914,1476,5760,120.03,0.002,0.01,0.017,119.985,0.0,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,3,1,per-start,120,2,0,0,0,2302,0.748,1.0,788,4683,5471,6259,4,4,0.41,15.5,0.21,0.507,0.4,1771,914,1388,5760,120.03,0.002,0.005,0.014,119.986,0.0,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,1,1,per-start,94,1,0,0,0,997,1.0,1.0,0,6157,6157,6157,3,1,0.0,0.0,0.162,0.57,0.478,609,789,208,2040,94.02,0.001,0.002,0.006,93.995,0.0,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,2,1,per-start,94,1,0,0,0,1026,1.0,1.0,0,6186,6186,6186,5,2,0.0,0.0,0.166,0.573,0.478,638,789,237,2040,94.02,0.001,0.002,0.01,93.988,0.0,0.0
area-29-n43,43,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,3,1,per-start,94,1,0,0,0,1032,1.0,1.0,0,6192,6192,6192,7,1,0.0,0.0,0.167,0.573,0.478,644,789,243,2040,94.02,0.001,0.001,0.007,93.994,0.0,0.0
reference-n1607,1607,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,36,,,0,0,True,0.0,44.1,1,,,,,1,1,per-start,120,25,0,0,0,58552,0.83,0.847,528,8938,10166,10766,37,31,0.39,115.24,0.233,0.931,0.714,31496,30823,27729,11160,122.81,0.688,1.714,2.65,117.353,0.007,0.0
reference-n1607,1607,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,36,,,0,0,True,0.0,44.1,1,,,,,2,1,per-start,120,25,0,0,0,60688,0.845,0.846,595,9083,10353,10748,77,42,0.41,92.84,0.239,0.939,0.714,33632,30823,29865,9240,122.72,0.656,1.693,2.66,117.329,0.006,0.0
reference-n1607,1607,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,36,,,0,0,True,0.0,44.1,1,,,,,3,1,per-start,120,25,0,0,0,57465,0.844,0.861,496,9089,10034,10773,44,30,0.49,109.24,0.23,0.927,0.714,30409,30823,26642,9000,122.71,0.628,1.699,2.661,117.349,0.006,0.0
