instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n1000,1000,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,1,15,2,,5,1,per-start,120,20,0,0,36791,0.7,882,7180,7236,10259,84,0.516,61.6,0.235,0.726,0.556,25895,15015,21776,26280,121.35,0.272,0.79,1.354,118.65,0.005
battery-sparse-n250,250,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,1,4,3,,1,1,per-start,120,5,0,0,14928,0.711,964,7484,8991,10522,4,0.337,27.2,0.332,0.832,0.556,6518,11132,3796,6000,120.14,0.019,0.053,0.102,119.9,0.001
battery-sparse-n250,250,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,1,4,3,,2,1,per-start,120,6,0,0,19658,0.802,773,7195,8710,8974,5,0.167,31.17,0.396,0.766,0.463,11282,10927,8731,13200,120.16,0.017,0.048,0.103,119.91,0.001
battery-sparse-n250,250,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,1,4,3,,3,1,per-start,120,5,0,0,15625,0.918,310,8950,8977,9745,3,0.28,13.4,0.342,0.845,0.556,7215,11132,4493,6000,120.14,0.019,0.053,0.111,119.89,0.001
battery-sparse-n250,250,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,1,4,3,,4,1,per-start,120,6,0,0,15871,0.891,290,7266,7608,8155,1,0.222,23.0,0.346,0.708,0.463,7495,10927,4944,13200,120.14,0.017,0.048,0.101,119.9,0.001
battery-sparse-n250,250,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,1,4,3,,5,1,per-start,120,6,0,0,15835,0.809,596,7186,7406,8879,2,0.408,12.67,0.345,0.707,0.463,7459,10927,4908,13200,120.15,0.019,0.047,0.098,119.903,0.001
battery-sparse-n500,500,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,1,8,2,,1,1,per-start,120,11,0,0,27659,0.681,970,6156,8080,9039,23,0.431,30.09,0.316,0.738,0.505,18255,13169,14490,19320,120.41,0.068,0.217,0.395,119.607,0.002
battery-sparse-n500,500,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,1,8,2,,2,1,per-start,120,10,0,0,24093,0.731,1028,7181,8940,9819,14,0.511,25.4,0.287,0.779,0.556,14670,13285,10808,12720,120.41,0.067,0.2,0.359,119.648,0.002
battery-sparse-n500,500,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,1,8,2,,3,1,per-start,120,11,0,0,22979,0.803,518,7187,7287,8955,2,0.545,22.18,0.277,0.698,0.505,13575,13169,9810,19200,120.41,0.067,0.196,0.368,119.634,0.002
battery-sparse-n500,500,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,1,8,2,,4,1,per-start,120,10,0,0,23608,0.725,921,7189,8730,9919,9,0.555,34.2,0.282,0.774,0.556,14185,13285,10323,12480,120.41,0.067,0.198,0.351,119.651,0.003
battery-sparse-n500,500,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,1,8,2,,5,1,per-start,120,10,1,0,26786,0.573,1728,6156,8460,10750,44,0.462,36.4,0.309,0.802,0.554,17363,13285,,15001,120.34,0.075,0.211,0.372,119.553,0.002
area-26-n157,157,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,1,2,4,,1,1,per-start,120,3,0,0,5193,0.913,307,7594,8117,8322,0,0.228,13.67,0.216,0.742,0.581,2810,3618,1575,2760,120.08,0.007,0.019,0.047,119.962,0.001
area-26-n157,157,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,1,2,4,,2,1,per-start,120,3,0,0,4768,0.803,767,7175,7494,8939,0,0.114,5.67,0.202,0.729,0.581,2385,3618,1150,2760,120.08,0.014,0.019,0.045,119.954,0.001
area-26-n157,157,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,1,2,4,,3,1,per-start,120,3,0,0,5214,0.875,441,7426,8143,8485,1,0.044,6.67,0.217,0.743,0.581,2831,3618,1596,2760,120.11,0.008,0.019,0.047,119.971,0.001
area-26-n157,157,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,1,2,4,,4,1,per-start,120,3,0,0,4723,0.873,479,7177,8166,8220,0,0.311,19.0,0.2,0.727,0.581,2340,3618,1105,2760,120.07,0.007,0.019,0.047,119.953,0.001
area-26-n157,157,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,1,2,4,,5,1,per-start,120,3,0,0,4879,0.822,646,7204,7752,8763,3,0.404,21.67,0.206,0.732,0.581,2496,3618,1261,2760,120.08,0.007,0.019,0.053,119.949,0.001
area-27-n72,72,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,1,1,7,,1,1,per-start,120,2,0,0,5732,1.0,1,7185,7186,7187,18,0.36,13.0,0.399,0.665,0.4,5201,914,4818,5760,120.03,0.002,0.005,0.016,119.982,0.0
area-27-n72,72,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,1,1,7,,2,1,per-start,120,2,0,0,5735,1.0,2,7186,7188,7189,5,0.54,22.0,0.399,0.665,0.4,5204,914,4821,5760,120.03,0.005,0.004,0.016,119.984,0.0
area-27-n72,72,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,1,1,7,,3,1,per-start,120,2,0,0,5735,0.999,4,7184,7188,7191,11,0.407,15.5,0.399,0.665,0.4,5204,914,4821,5760,120.03,0.003,0.005,0.019,119.975,0.0
area-27-n72,72,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,1,1,7,,4,1,per-start,120,2,0,0,5736,0.999,2,7186,7188,7190,9,0.573,21.5,0.399,0.665,0.4,5205,914,4822,5760,120.03,0.002,0.005,0.018,119.98,0.0
area-27-n72,72,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,1,1,7,,5,1,per-start,120,2,0,0,5735,1.0,0,7187,7188,7188,10,0.644,26.5,0.399,0.665,0.4,5204,914,4821,5760,120.04,0.004,0.005,0.017,119.982,0.001
area-29-n43,43,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,1,1,6,,1,1,per-start,94,1,0,0,2024,1.0,0,7184,7184,7184,10,0.0,0.0,0.282,0.665,0.478,1636,789,1235,2040,94.02,0.001,0.002,0.008,93.991,0.001
area-29-n43,43,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,1,1,6,,2,1,per-start,94,1,0,0,2027,1.0,0,7187,7187,7187,4,0.0,0.0,0.282,0.665,0.478,1639,789,1238,2040,94.03,0.001,0.002,0.008,93.992,0.0
area-29-n43,43,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,1,1,6,,3,1,per-start,94,1,0,0,2042,1.0,0,7202,7202,7202,4,0.0,0.0,0.284,0.667,0.478,1654,789,1253,2040,94.02,0.001,0.002,0.008,93.992,0.0
area-29-n43,43,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,1,1,6,,4,1,per-start,94,1,0,0,2023,1.0,0,7183,7183,7183,7,0.0,0.0,0.282,0.665,0.478,1635,789,1234,2040,94.02,0.001,0.002,0.008,93.991,0.0
area-29-n43,43,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,1,1,6,,5,1,per-start,94,1,0,0,2025,1.0,0,7185,7185,7185,5,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,94.03,0.001,0.005,0.007,93.991,0.0
reference-n1607,1607,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,1,24,2,,1,1,per-start,120,31,20,1,71582,0.467,1131,4810,8866,10293,280,0.572,46.87,0.273,0.783,0.569,44628,30221,,38520,123.68,0.84,2.291,3.588,116.418,0.008
reference-n1607,1607,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,1,24,2,,2,1,per-start,120,31,0,1,73990,0.672,1037,7177,8834,10688,195,0.656,47.48,0.277,0.797,0.576,47036,30221,43769,38641,123.9,0.867,2.496,3.799,116.177,0.008
reference-n1607,1607,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,1,24,2,,3,1,per-start,120,32,1,1,67532,0.012,1622,120,8522,10214,180,0.561,49.06,0.259,0.753,0.558,40595,30125,,39960,123.69,0.813,2.214,3.629,116.376,0.008
reference-n1607,1607,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,1,24,2,,4,1,per-start,120,29,0,0,65682,0.69,881,7300,8976,10579,104,0.57,46.83,0.254,0.826,0.616,38694,30416,35266,24960,123.89,0.909,2.409,3.695,116.322,0.008
reference-n1607,1607,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,1,24,2,,5,1,per-start,120,30,79,1,68772,0.461,1127,4747,8916,10306,134,0.66,53.73,0.273,0.778,0.566,41801,30318,,38160,123.54,0.797,2.241,3.372,116.639,0.007
