instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,,5,1,per-start,120,6,0,0,16238,0.863,389,7184,7745,8329,0,0.202,9.67,0.351,0.713,0.463,7862,10927,5311,13201,120.15,0.016,0.048,0.101,119.9,0.001
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,,1,1,per-start,120,8,0,0,18863,0.849,604,9079,9867,10697,11,0.425,43.38,0.239,0.913,0.694,9401,13517,5346,1200,120.42,0.065,0.224,0.377,119.629,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,,2,1,per-start,120,9,0,0,21866,0.905,289,8967,8980,9908,9,0.574,74.89,0.267,0.842,0.617,12424,13401,8465,5640,120.38,0.063,0.192,0.372,119.63,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,,3,1,per-start,120,9,0,0,21521,0.974,63,8964,9044,9206,14,0.706,95.67,0.264,0.839,0.617,12079,13401,8120,4922,120.4,0.064,0.198,0.345,119.662,0.003
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,,4,1,per-start,120,9,0,0,21382,0.927,209,8931,8974,9632,8,0.475,60.78,0.263,0.837,0.617,11940,13401,7981,5160,120.39,0.062,0.206,0.355,119.647,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,,5,1,per-start,120,8,0,0,19373,0.835,693,8991,9996,10771,15,0.398,22.25,0.244,0.919,0.694,9911,13517,5856,1200,120.36,0.069,0.244,0.385,119.541,0.002
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,,1,1,per-start,120,3,0,0,5193,0.913,307,7594,8117,8322,0,0.228,13.67,0.216,0.742,0.581,2810,3618,1575,2760,120.07,0.006,0.02,0.048,119.952,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,,2,1,per-start,120,3,0,0,4768,0.803,767,7175,7494,8939,0,0.114,5.67,0.202,0.729,0.581,2385,3618,1150,2760,120.07,0.007,0.02,0.048,119.95,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,,3,1,per-start,120,3,0,0,5214,0.875,441,7426,8143,8485,1,0.044,6.67,0.217,0.743,0.581,2831,3618,1596,2760,120.09,0.007,0.023,0.05,119.949,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,,4,1,per-start,120,3,0,0,4723,0.873,479,7177,8166,8220,0,0.311,19.0,0.2,0.727,0.581,2340,3618,1105,2760,120.07,0.006,0.02,0.047,119.952,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,,5,1,per-start,120,3,0,0,4879,0.822,646,7204,7752,8763,3,0.404,21.67,0.206,0.732,0.581,2496,3618,1261,2760,120.07,0.007,0.018,0.048,119.952,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,,1,1,per-start,120,2,0,0,5732,1.0,1,7185,7186,7187,18,0.36,13.0,0.399,0.665,0.4,5201,914,4818,5760,120.03,0.002,0.004,0.016,119.982,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,,2,1,per-start,120,2,0,0,5735,1.0,2,7186,7188,7189,5,0.54,22.0,0.399,0.665,0.4,5204,914,4821,5760,120.03,0.002,0.005,0.017,119.982,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,,3,1,per-start,120,2,0,0,5735,0.999,4,7184,7188,7191,11,0.407,15.5,0.399,0.665,0.4,5204,914,4821,5760,120.03,0.002,0.004,0.017,119.979,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,,4,1,per-start,120,2,0,0,5736,0.999,2,7186,7188,7190,9,0.573,21.5,0.399,0.665,0.4,5205,914,4822,5760,120.03,0.002,0.004,0.016,119.983,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,,5,1,per-start,120,2,0,0,5735,1.0,0,7187,7188,7188,10,0.644,26.5,0.399,0.665,0.4,5204,914,4821,5760,120.04,0.002,0.004,0.016,119.984,0.001
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,,1,1,per-start,94,1,0,0,2024,1.0,0,7184,7184,7184,10,0.0,0.0,0.282,0.665,0.478,1636,789,1235,2040,94.03,0.002,0.003,0.01,93.989,0.001
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,,2,1,per-start,94,1,0,0,2027,1.0,0,7187,7187,7187,4,0.0,0.0,0.282,0.665,0.478,1639,789,1238,2040,94.02,0.001,0.002,0.008,93.991,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,,3,1,per-start,94,1,0,0,2042,1.0,0,7202,7202,7202,4,0.0,0.0,0.284,0.667,0.478,1654,789,1253,2040,94.02,0.001,0.002,0.008,93.991,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,,4,1,per-start,94,1,0,0,2023,1.0,0,7183,7183,7183,7,0.0,0.0,0.282,0.665,0.478,1635,789,1234,2040,94.02,0.001,0.002,0.008,93.991,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,,5,1,per-start,94,1,0,0,2025,1.0,0,7185,7185,7185,5,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,94.02,0.001,0.002,0.007,93.991,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,,1,1,per-start,120,25,0,0,60084,0.84,509,9042,10160,10766,59,0.395,119.56,0.238,0.937,0.714,33028,30823,29261,11760,123.58,0.695,2.355,3.523,116.482,0.008
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,,2,1,per-start,120,25,0,0,61579,0.84,606,9033,10353,10755,74,0.414,92.88,0.242,0.942,0.714,34523,30823,30756,9480,123.66,0.732,2.459,3.779,116.196,0.008
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,,3,1,per-start,120,25,0,0,59609,0.849,546,9141,10067,10761,63,0.49,109.16,0.236,0.935,0.714,32553,30823,28786,10080,123.62,0.727,2.297,3.568,116.437,0.008
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,,4,1,per-start,120,25,0,0,62197,0.838,469,9004,10411,10743,73,0.421,181.6,0.244,0.945,0.714,35141,30823,31374,10680,123.88,0.858,2.511,3.527,116.476,0.009
reference-n1607,1607,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,,5,1,per-start,120,25,0,1,61238,0.837,572,8980,10461,10733,72,0.513,122.64,0.241,0.941,0.714,34182,30823,30415,10080,123.44,0.779,2.2,3.404,116.599,0.007
