instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n400,400,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,3,,,,,1,1,per-start,120,6,0,0,12495,0.869,496,9255,10132,10655,10,11,0.221,68.83,0.207,0.934,0.741,6963,7477,5018,960,120.22,0.038,0.102,0.2,119.8,0.002,0.0
battery-n400,400,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,3,,,,,2,1,per-start,120,7,0,0,14327,0.74,765,7191,8962,9718,11,22,0.219,57.43,0.23,0.825,0.635,8809,7314,7013,4800,120.23,0.036,0.103,0.2,119.806,0.002,0.0731
battery-n400,400,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,3,,,,,3,1,per-start,120,7,0,0,15767,0.921,266,8942,8971,9710,38,16,0.547,64.0,0.247,0.843,0.635,10249,7314,8453,3600,120.23,0.036,0.103,0.206,119.802,0.002,0.1042
battery-n400,400,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,10,,,,,1,1,per-start,120,6,0,0,12409,0.845,532,9098,10204,10761,14,18,0.437,64.5,0.205,0.932,0.741,6877,7477,4932,0,120.26,0.037,0.105,0.211,119.791,0.002,0.0
battery-n400,400,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,10,,,,,2,1,per-start,120,6,0,0,11472,0.815,670,8746,9919,10733,15,19,0.146,21.67,0.193,0.918,0.741,5940,7477,3995,960,120.22,0.036,0.106,0.217,119.782,0.002,0.0
battery-n400,400,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,10,,,,,3,1,per-start,120,6,0,0,12136,0.837,585,8978,10137,10725,16,11,0.422,50.83,0.202,0.928,0.741,6604,7477,4659,720,120.23,0.035,0.106,0.214,119.789,0.002,0.0
battery-n400,400,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,30,,,,,1,1,per-start,120,7,0,0,15888,0.972,78,9001,9114,9257,51,39,0.276,57.29,0.249,0.845,0.635,10370,7314,8574,2400,120.22,0.037,0.107,0.203,119.797,0.002,0.1058
battery-n400,400,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,30,,,,,2,1,per-start,120,7,0,0,14882,0.98,57,8907,8981,9093,20,11,0.555,75.43,0.237,0.832,0.635,9364,7314,7568,3720,120.23,0.036,0.104,0.206,119.793,0.002,0.007
battery-n400,400,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,30,,,,,3,1,per-start,120,7,0,0,14072,0.964,106,8649,8875,8976,10,7,0.424,71.86,0.227,0.821,0.635,8554,7314,6758,2521,120.21,0.036,0.102,0.198,119.801,0.002,0.0
battery-n800,800,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,1,,,,,1,1,per-start,120,12,0,0,19262,0.838,542,8999,9417,10733,25,20,0.522,52.25,0.167,0.889,0.741,10299,12392,6870,480,120.75,0.153,0.429,0.735,119.267,0.003,0.0027
