instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n200,200,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8120,0.845,532,7290,8100,8630,2,9,0.119,12.5,0.253,0.744,0.556,4642,4541,3579,4800,120.09,0.01,0.026,0.065,119.936,0.001,0.0826
battery-n200,200,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8390,0.844,556,7377,8138,8737,2,11,0.021,1.0,0.259,0.75,0.556,4912,4541,3849,4801,120.09,0.009,0.026,0.063,119.937,0.002,0.1316
battery-n200,200,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.08,0.012,0.026,0.061,119.94,0.001,0.0549
battery-n200,200,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8298,0.882,405,7550,8095,8558,2,10,0.238,29.75,0.257,0.748,0.556,4820,4541,3757,4800,120.08,0.009,0.026,0.062,119.94,0.001,0.0635
battery-n200,200,factorial,floor2000-mid,spatial_term,actual,2000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.08,0.009,0.026,0.06,119.94,0.001,0.0827
battery-n200,200,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,7801,0.87,393,7433,7914,8539,3,12,0.079,9.0,0.245,0.736,0.556,4323,4541,3260,4800,120.08,0.009,0.026,0.061,119.938,0.001,0.1034
battery-n200,200,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8120,0.845,532,7290,8100,8630,2,9,0.119,12.5,0.253,0.744,0.556,4642,4541,3579,4800,120.07,0.009,0.026,0.06,119.936,0.001,0.0826
battery-n200,200,factorial,floor2000-tmax,spatial_term,actual,2000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8370,0.815,713,7296,8062,8949,4,22,0.074,4.25,0.259,0.75,0.556,4892,4541,3829,4800,120.1,0.01,0.026,0.06,119.94,0.001,0.1263
battery-n200,200,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.08,0.009,0.026,0.06,119.94,0.001,0.0549
battery-n200,200,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8550,0.885,426,7569,8215,8551,6,20,0.169,18.75,0.263,0.754,0.556,5072,4541,4009,4800,120.08,0.01,0.026,0.061,119.94,0.001,0.076
battery-n200,200,factorial,floor500-mid,spatial_term,actual,500,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.08,0.009,0.026,0.062,119.939,0.001,0.0827
battery-n200,200,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8321,0.755,951,7316,7658,9690,3,12,0.242,17.25,0.257,0.748,0.556,4843,4541,3780,5040,120.08,0.009,0.026,0.061,119.939,0.001,0.0945
battery-n200,200,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8120,0.845,532,7290,8100,8630,2,9,0.119,12.5,0.253,0.744,0.556,4642,4541,3579,4800,120.08,0.009,0.026,0.061,119.939,0.001,0.0826
battery-n200,200,factorial,floor500-tmax,spatial_term,actual,500,tmax,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8167,0.866,445,7415,8095,8562,2,17,0.035,4.0,0.254,0.745,0.556,4689,4541,3626,4800,120.07,0.009,0.026,0.061,119.935,0.001,0.1284
battery-n200,200,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.06,0.009,0.026,0.062,119.923,0.001,0.0549
battery-n200,200,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8187,0.854,449,7394,8068,8658,2,17,0.151,12.25,0.254,0.745,0.556,4709,4541,3646,4800,120.09,0.01,0.026,0.061,119.939,0.001,0.11
battery-n200,200,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.08,0.009,0.026,0.061,119.939,0.001,0.0827
battery-n200,200,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8321,0.755,951,7316,7658,9690,3,12,0.242,17.25,0.257,0.748,0.556,4843,4541,3780,5040,120.08,0.009,0.026,0.074,119.927,0.001,0.0945
