instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,85.8,3,5,0,0,15145,0.625,1473,6733,9496,10770,1,0.344,14.8,0.335,0.836,0.556,6735,11132,4013,6120,120.15,0.02,0.053,0.106,119.896,0.001
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,85.8,4,5,0,0,15731,0.712,1060,7246,9560,10179,0,0.238,20.2,0.344,0.847,0.556,7321,11132,4599,6000,120.18,0.022,0.056,0.115,119.887,0.001
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,85.8,5,5,0,0,15352,0.653,1234,6842,9346,10473,1,0.075,2.6,0.339,0.84,0.556,6942,11132,4220,6000,120.15,0.019,0.051,0.123,119.878,0.001
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,56.9,1,8,0,0,23764,0.931,256,10022,10532,10769,2,0.439,68.0,0.284,0.97,0.694,14302,13517,10247,1081,120.46,0.078,0.222,0.363,119.639,0.002
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,56.9,2,8,0,0,22447,0.891,434,9580,10427,10754,1,0.296,49.88,0.272,0.954,0.694,12985,13517,8930,840,120.47,0.08,0.229,0.412,119.594,0.003
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,56.9,3,8,0,0,21262,0.845,564,9021,10342,10673,0,0.311,20.5,0.262,0.94,0.694,11800,13517,7745,720,120.46,0.073,0.214,0.379,119.626,0.004
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,56.9,4,8,0,0,21832,0.916,262,9721,10231,10608,1,0.257,52.62,0.267,0.947,0.694,12370,13517,8315,1200,120.45,0.074,0.228,0.409,119.593,0.003
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,56.9,5,8,0,0,20657,0.734,932,7879,10520,10729,1,0.6,37.5,0.256,0.933,0.694,11195,13517,7140,1920,120.43,0.077,0.224,0.414,119.577,0.002
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,48.1,1,3,0,0,4485,0.846,541,7037,7967,8321,0,0.048,4.0,0.192,0.72,0.581,2102,3618,867,2760,120.1,0.008,0.026,0.058,119.945,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,48.1,2,3,0,0,4485,0.828,605,6957,7967,8401,1,0.048,4.0,0.192,0.72,0.581,2102,3618,867,2760,120.08,0.009,0.02,0.05,119.951,0.001
