instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-27-n72,72,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,29.8,1,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.03,0.002,0.005,0.021,119.98,0.001
area-27-n72,72,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,29.8,2,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.04,0.002,0.006,0.022,119.98,0.0
area-27-n72,72,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,29.8,3,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.03,0.002,0.009,0.022,119.969,0.0
area-27-n72,72,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,29.8,4,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.04,0.002,0.004,0.021,119.981,0.0
area-27-n72,72,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,29.8,5,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,120.04,0.002,0.005,0.024,119.978,0.0
area-29-n43,43,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.002,0.01,93.993,0.0
area-29-n43,43,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,27.6,2,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.001,0.003,0.009,93.99,0.0
area-29-n43,43,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,27.6,3,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.001,0.006,0.009,93.992,0.0
area-29-n43,43,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,27.6,4,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.002,0.009,93.991,0.0
area-29-n43,43,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,27.6,5,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.001,0.002,0.012,93.989,0.0
reference-n1607,1607,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,44.1,1,25,0,0,65022,0.885,346,9558,10401,10794,20,0.475,136.72,0.252,0.955,0.714,37966,30823,34199,8400,123.53,0.843,2.174,3.658,116.349,0.008
reference-n1607,1607,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,44.1,2,25,0,0,62889,0.82,546,8817,10473,10757,27,0.486,90.2,0.246,0.947,0.714,35833,30823,32066,9721,123.58,0.777,2.276,3.836,116.197,0.009
reference-n1607,1607,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,44.1,3,25,0,0,63277,0.664,784,7145,10509,10765,31,0.44,86.32,0.247,0.949,0.714,36221,30823,32454,10440,123.49,0.889,2.135,3.681,116.326,0.008
reference-n1607,1607,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,44.1,4,25,0,0,61860,0.812,598,8731,10388,10749,19,0.574,94.96,0.243,0.943,0.714,34804,30823,31037,8041,123.53,0.793,2.233,3.779,116.229,0.008
reference-n1607,1607,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,44.1,5,25,0,1,64728,0.862,493,9269,10519,10753,18,0.386,185.36,0.251,0.954,0.714,37672,30823,33905,9241,123.46,0.813,2.187,3.712,116.295,0.008
