instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-26-n157,157,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,48.1,1,3,0,0,4300,0.795,755,6943,7459,8738,0,0.034,3.67,0.186,0.714,0.581,1917,2760,120.06,0.006,0.016,0.047,119.953,0.001
area-26-n157,157,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,48.1,2,3,0,0,4300,0.795,755,6943,7459,8738,0,0.034,3.67,0.186,0.714,0.581,1917,2760,120.06,0.006,0.016,0.047,119.953,0.001
area-26-n157,157,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,48.1,3,3,0,0,4300,0.795,755,6943,7459,8738,0,0.034,3.67,0.186,0.714,0.581,1917,2760,120.06,0.006,0.016,0.047,119.954,0.001
area-27-n72,72,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,29.8,1,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,0,120.03,0.002,0.004,0.017,119.983,0.0
area-27-n72,72,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,29.8,2,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,0,120.03,0.002,0.006,0.016,119.983,0.0
area-27-n72,72,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,29.8,3,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,0,120.03,0.002,0.004,0.016,119.983,0.0
area-29-n43,43,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,2040,94.0,0.001,0.002,0.008,93.979,0.0
area-29-n43,43,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,27.6,2,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,2040,94.01,0.001,0.002,0.007,93.987,0.0
area-29-n43,43,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,27.6,3,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,2040,94.02,0.001,0.002,0.007,93.992,0.0
reference-n1607,1607,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,44.1,1,25,0,0,58271,0.727,823,7835,10377,10770,7,0.317,62.64,0.232,0.93,0.714,31215,9720,122.61,0.579,1.677,2.9,117.103,0.006
reference-n1607,1607,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,44.1,2,25,0,0,58316,0.727,824,7835,10377,10770,10,0.317,62.64,0.232,0.93,0.714,31260,9720,122.62,0.582,1.68,2.989,117.015,0.006
reference-n1607,1607,config,no-floor-stops5,spatial_term,no-floor-stops5,0,3,0,False,0.0,44.1,3,25,0,0,58271,0.727,823,7835,10377,10770,7,0.317,62.64,0.232,0.93,0.714,31215,9720,122.64,0.584,1.675,2.9,117.104,0.006
