instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-29-n43,43,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,27.6,2,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,2040,94.02,0.001,0.002,0.008,93.992,0.0
area-29-n43,43,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,27.6,3,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,2040,94.02,0.001,0.002,0.007,93.992,0.0
reference-n1607,1607,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,44.1,1,25,0,0,58159,0.727,836,7835,10377,10770,7,0.317,64.72,0.232,0.93,0.714,31103,9720,122.56,0.587,1.674,2.725,117.214,0.006
reference-n1607,1607,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,44.1,2,25,0,0,58159,0.727,836,7835,10377,10770,7,0.317,64.72,0.232,0.93,0.714,31103,9720,122.63,0.592,1.678,2.743,117.259,0.006
reference-n1607,1607,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,44.1,3,25,0,0,58159,0.727,836,7835,10377,10770,7,0.317,64.72,0.232,0.93,0.714,31103,9720,122.63,0.576,1.68,2.752,117.251,0.007
battery-n50,50,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,112.6,1,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.06,0.001,0.005,0.01,104.989,0.0
battery-n100,100,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,67.3,1,2,0,0,4259,0.652,1714,6415,8130,9844,3,0.03,5.0,0.262,0.752,0.556,1799,2400,120.03,0.003,0.007,0.023,119.974,0.0
battery-n200,200,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,59.0,1,4,0,0,8018,0.629,1443,6312,7835,10036,3,0.053,5.25,0.25,0.741,0.556,4540,6000,120.08,0.01,0.026,0.066,119.932,0.001
battery-n400,400,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,46.7,1,6,0,0,13148,0.815,687,8692,10478,10660,5,0.357,25.83,0.215,0.944,0.741,7616,840,120.23,0.04,0.102,0.217,119.781,0.002
battery-n800,800,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,35.4,1,12,0,0,21337,0.463,1499,4892,10258,10577,9,0.42,40.08,0.182,0.905,0.741,12374,3480,120.76,0.159,0.409,0.737,119.263,0.003
battery-n1000,1000,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,34.7,1,15,0,0,26890,0.743,928,7951,9956,10703,7,0.412,50.8,0.183,0.907,0.741,15938,1560,121.12,0.245,0.642,1.127,118.876,0.004
battery-sparse-n250,250,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,85.8,1,5,0,0,15497,0.681,1153,6842,9567,10043,1,0.069,2.6,0.341,0.843,0.556,7087,6001,120.15,0.015,0.039,0.088,119.952,0.001
battery-sparse-n500,500,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,56.9,1,8,0,0,20935,0.812,611,8692,10196,10705,4,0.144,23.25,0.259,0.937,0.694,11473,1320,120.33,0.06,0.161,0.322,119.677,0.002
area-26-n157,157,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,48.1,1,3,0,0,4374,0.832,592,6926,7967,8321,0,0.048,4.0,0.188,0.716,0.581,1991,2760,120.06,0.006,0.016,0.045,119.954,0.001
area-27-n72,72,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,29.8,1,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,0,120.02,0.002,0.004,0.017,119.982,0.0
