source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec,ub_k_sec,relleno_ub_sec
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w30,2,8,19427,9965,13517,5910,,
arc-weight-crossings-20260724.csv,battery-sparse-n500,500,arc-w30,3,8,19872,10410,13517,6355,,
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w1,1,3,5193,2810,3618,1575,4290,903
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w1,2,3,4768,2385,3618,1150,4290,478
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w1,3,3,5214,2831,3618,1596,4290,924
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w3,1,3,5289,2906,3618,1671,4290,999
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w3,2,3,4931,2548,3618,1313,4290,641
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w3,3,3,4824,2441,3618,1206,4290,534
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w10,1,3,4938,2555,3618,1320,4290,648
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w10,2,3,4680,2297,3618,1062,4290,390
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w10,3,3,4714,2331,3618,1096,4290,424
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w30,1,3,4677,2294,3618,1059,4290,387
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w30,2,3,4821,2438,3618,1203,4290,531
arc-weight-crossings-20260724.csv,area-26-n157,157,arc-w30,3,3,5042,2659,3618,1424,4290,752
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w1,1,2,5734,5203,914,4820,1036,4698
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w1,2,2,5735,5204,914,4821,1036,4699
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w1,3,2,5735,5204,914,4821,1036,4699
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w3,1,2,5734,5203,914,4820,1036,4698
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w3,2,2,5732,5201,914,4818,1036,4696
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w3,3,2,5733,5202,914,4819,1036,4697
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w10,1,2,5731,5200,914,4817,1036,4695
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w10,2,2,5731,5200,914,4817,1036,4695
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w10,3,2,5731,5200,914,4817,1036,4695
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w30,1,2,5730,5199,914,4816,1036,4694
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w30,2,2,5725,5194,914,4811,1036,4689
arc-weight-crossings-20260724.csv,area-27-n72,72,arc-w30,3,2,5729,5198,914,4815,1036,4693
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w1,1,1,2024,1636,789,1235,955,1069
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w1,2,1,2026,1638,789,1237,955,1071
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w1,3,1,2042,1654,789,1253,955,1087
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w3,1,1,2020,1632,789,1231,955,1065
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w3,2,1,2034,1646,789,1245,955,1079
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w3,3,1,2023,1635,789,1234,955,1068
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w10,1,1,2022,1634,789,1233,955,1067
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w10,2,1,2020,1632,789,1231,955,1065
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w10,3,1,2020,1632,789,1231,955,1065
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w30,1,1,2019,1631,789,1230,955,1064
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w30,2,1,2020,1632,789,1231,955,1065
arc-weight-crossings-20260724.csv,area-29-n43,43,arc-w30,3,1,2022,1634,789,1233,955,1067
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w1,2,25,61391,34335,30823,30568,39695,21696
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w1,3,25,58774,31718,30823,27951,39695,19079
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w3,1,24,58393,31319,30928,27465,39900,18493
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w3,2,25,60872,33816,30823,30049,39695,21177
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w3,3,25,60403,33347,30823,29580,39695,20708
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w10,1,24,60970,33896,30928,30042,39900,21070
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w10,2,24,59513,32439,30928,28585,39900,19613
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w10,3,24,57416,30342,30928,26488,39900,17516
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w30,2,24,60089,33015,30928,29161,39900,20189
arc-weight-crossings-20260724.csv,reference-n1607,1607,arc-w30,3,25,61726,34670,30823,30903,39695,22031
