instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-sparse-n500,500,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,greedy,1,1,per-start,120,10,0,0,21223,0.815,543,7198,8246,8831,2,0.305,42.6,0.261,0.752,0.556,11800,13285,7938,12001,120.37,0.057,0.168,0.011,120.005,0.002
battery-sparse-n500,500,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,greedy,2,1,per-start,120,10,0,0,21223,0.815,543,7198,8246,8831,2,0.305,42.6,0.261,0.752,0.556,11800,13285,7938,12001,120.4,0.055,0.165,0.011,120.056,0.002
battery-sparse-n500,500,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,greedy,3,1,per-start,120,10,0,0,21223,0.815,543,7198,8246,8831,2,0.305,42.6,0.261,0.752,0.556,11800,13285,7938,12001,120.36,0.056,0.169,0.011,120.002,0.003
battery-sparse-n500,500,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,greedy,4,1,per-start,120,10,0,0,21223,0.815,543,7198,8246,8831,2,0.305,42.6,0.261,0.752,0.556,11800,13285,7938,12001,120.37,0.055,0.171,0.011,120.002,0.002
battery-sparse-n500,500,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,,,,greedy,5,1,per-start,120,10,0,0,21223,0.815,543,7198,8246,8831,2,0.305,42.6,0.261,0.752,0.556,11800,13285,7938,12001,120.35,0.055,0.17,0.011,120.003,0.002
area-26-n157,157,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,greedy,1,1,per-start,120,3,0,0,5027,0.855,518,7246,8151,8470,1,0.042,2.67,0.211,0.737,0.581,2644,3618,1409,2760,120.06,0.006,0.016,0.003,120.0,0.001
area-26-n157,157,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,greedy,2,1,per-start,120,3,0,0,4842,0.863,509,7425,7656,8601,0,0.125,6.0,0.204,0.731,0.581,2459,3618,1224,2880,120.06,0.006,0.019,0.003,119.997,0.001
area-26-n157,157,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,greedy,3,1,per-start,120,3,0,0,5027,0.855,518,7246,8151,8470,1,0.042,2.67,0.211,0.737,0.581,2644,3618,1409,2760,120.07,0.006,0.016,0.003,120.001,0.001
area-26-n157,157,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,greedy,4,1,per-start,120,3,0,0,5027,0.855,518,7246,8151,8470,1,0.042,2.67,0.211,0.737,0.581,2644,3618,1409,2760,120.07,0.006,0.017,0.004,120.0,0.001
area-26-n157,157,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,,,,greedy,5,1,per-start,120,3,0,0,5027,0.855,518,7246,8151,8470,1,0.042,2.67,0.211,0.737,0.581,2644,3618,1409,2760,120.1,0.006,0.017,0.003,120.001,0.001
