instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,5,3,total,35,2,0,0,8394,1.0,1,7196,7197,7198,9,0.122,8.5,0.583,0.666,0.278,6370,1975,6419,8400,105.17,0.002,0.013,0.04,105.029,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,5,3,total,40,2,0,0,4043,0.843,682,7340,8022,8703,0,0.049,5.0,0.252,0.743,0.556,1583,2601,1442,2400,120.09,0.005,0.031,0.1,119.908,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,5,3,total,40,4,0,0,8335,0.817,595,7198,8162,8814,0,0.07,13.0,0.258,0.748,0.556,4857,4541,3794,4800,120.21,0.015,0.122,0.285,119.712,0.004
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,5,3,total,40,7,0,0,15319,0.959,123,8946,9002,9330,22,0.483,105.71,0.242,0.838,0.635,9801,7314,8005,3120,120.7,0.06,0.48,0.952,119.056,0.007
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,5,3,total,40,12,0,0,21718,0.862,447,8945,9876,10378,52,0.448,81.75,0.184,0.908,0.741,12755,12392,9326,1920,122.67,0.241,2.017,3.458,116.56,0.015
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,5,3,total,40,15,0,0,29582,0.827,705,8910,10224,10769,77,0.652,91.33,0.198,0.923,0.741,18630,15438,14144,600,123.93,0.375,3.147,5.164,114.851,0.016
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,5,3,total,40,5,0,0,15648,0.921,299,8954,8977,9726,6,0.167,21.6,0.343,0.845,0.556,7238,11132,4516,6001,120.33,0.022,0.181,0.409,119.596,0.005
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,5,3,total,40,9,0,0,23368,0.9,328,8941,9060,9932,26,0.513,93.0,0.28,0.858,0.617,13926,13401,9967,5640,121.06,0.102,0.755,1.434,118.579,0.009
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,5,3,total,40,3,0,0,4908,0.91,343,7646,7702,8399,0,0.048,4.33,0.207,0.733,0.581,2525,3618,1290,2761,120.06,0.009,0.074,0.193,119.715,0.003
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,5,3,total,40,2,0,0,5735,1.0,0,7187,7188,7188,10,0.644,26.5,0.399,0.665,0.4,5204,914,4821,5760,120.06,0.003,0.017,0.067,119.933,0.001
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,5,3,total,31,1,0,0,2027,1.0,0,7187,7187,7187,7,0.0,0.0,0.282,0.665,0.478,1639,789,1238,2040,93.04,0.001,0.006,0.03,92.974,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,5,3,total,40,25,0,0,66794,0.845,477,9110,10641,10776,85,0.37,144.2,0.257,0.962,0.714,39738,30823,35971,10080,129.84,0.916,8.082,13.016,107.004,0.028
