source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec,ub_k_sec,relleno_ub_sec
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n1000,1000,feasible-floor-b095,3,15,27022,16070,15438,11584,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n1000,1000,feasible-floor-b095,4,15,27344,16392,15438,11906,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n1000,1000,feasible-floor-b095,5,14,28640,17677,15529,13111,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n250,250,feasible-floor-b095,1,5,16623,8213,11132,5491,13901,2722
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n250,250,feasible-floor-b095,2,5,16319,7909,11132,5187,13901,2418
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n250,250,feasible-floor-b095,3,5,15145,6735,11132,4013,13901,1244
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n250,250,feasible-floor-b095,4,5,15731,7321,11132,4599,13901,1830
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n250,250,feasible-floor-b095,5,5,15352,6942,11132,4220,13901,1451
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n500,500,feasible-floor-b095,1,8,23764,14302,13517,10247,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n500,500,feasible-floor-b095,2,8,22447,12985,13517,8930,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n500,500,feasible-floor-b095,3,8,21262,11800,13517,7745,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n500,500,feasible-floor-b095,4,8,21832,12370,13517,8315,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-sparse-n500,500,feasible-floor-b095,5,8,20657,11195,13517,7140,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-26-n157,157,feasible-floor-b095,1,3,4485,2102,3618,867,4290,195
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-26-n157,157,feasible-floor-b095,2,3,4485,2102,3618,867,4290,195
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-26-n157,157,feasible-floor-b095,3,3,4277,1894,3618,659,4290,-13
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-26-n157,157,feasible-floor-b095,4,3,4376,1993,3618,758,4290,86
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-26-n157,157,feasible-floor-b095,5,3,4272,1889,3618,654,4290,-18
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-27-n72,72,feasible-floor-b095,1,1,1502,963,1303,199,1425,77
