source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec
route-config-algorithm-sweep-20260718.csv,battery-n800,800,greedy,3,12,23728,14765,12392,11336
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,actual,1,15,26579,15627,15438,11141
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,actual,2,15,26657,15705,15438,11219
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,actual,3,15,26613,15661,15438,11175
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,upper-tmax-tmin9000,1,15,28670,17718,15438,13232
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,upper-tmax-tmin9000,2,15,28670,17718,15438,13232
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,upper-tmax-tmin9000,3,15,28670,17718,15438,13232
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,tmin-scaled,1,16,28737,17796,15350,13387
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,tmin-scaled,2,16,29444,18503,15350,14094
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,tmin-scaled,3,16,28750,17809,15350,13400
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,service-floor,1,19,25569,14662,15097,10472
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,service-floor,2,19,25574,14667,15097,10477
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,service-floor,3,19,25528,14621,15097,10431
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,tmin-scaled+exempt-last,1,16,29444,18503,15350,14094
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,tmin-scaled+exempt-last,2,16,28866,17925,15350,13516
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,tmin-scaled+exempt-last,3,16,28750,17809,15350,13400
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,span-c100,1,14,24957,13994,15529,9428
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,span-c100,2,14,24957,13994,15529,9428
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,span-c100,3,14,24957,13994,15529,9428
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,global,1,14,23110,12147,15529,7581
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,global,2,14,23110,12147,15529,7581
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,global,3,14,23110,12147,15529,7581
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,greedy,1,14,28302,17339,15529,12773
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,greedy,2,14,28302,17339,15529,12773
route-config-algorithm-sweep-20260718.csv,battery-n1000,1000,greedy,3,14,28302,17339,15529,12773
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,actual,1,5,15734,7324,11132,4602
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,actual,2,5,15734,7324,11132,4602
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,actual,3,5,15734,7324,11132,4602
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,upper-tmax-tmin9000,1,5,17231,8821,11132,6099
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,upper-tmax-tmin9000,2,5,17231,8821,11132,6099
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,upper-tmax-tmin9000,3,5,17231,8821,11132,6099
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,tmin-scaled,1,8,14727,6420,10601,4126
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,tmin-scaled,2,8,14727,6420,10601,4126
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,tmin-scaled,3,8,14727,6420,10601,4126
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,service-floor,1,6,15249,6873,10927,4322
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,service-floor,2,6,15249,6873,10927,4322
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,service-floor,3,6,15249,6873,10927,4322
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,tmin-scaled+exempt-last,1,8,14727,6420,10601,4126
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,tmin-scaled+exempt-last,2,8,14727,6420,10601,4126
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,tmin-scaled+exempt-last,3,8,14727,6420,10601,4126
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,span-c100,1,5,15070,6660,11132,3938
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,span-c100,2,5,15070,6660,11132,3938
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,span-c100,3,5,15070,6660,11132,3938
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,global,1,5,14938,6528,11132,3806
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,global,2,5,15088,6678,11132,3956
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,global,3,5,14977,6567,11132,3845
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,greedy,1,5,18489,10079,11132,7357
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,greedy,2,5,18489,10079,11132,7357
route-config-algorithm-sweep-20260718.csv,battery-sparse-n250,250,greedy,3,5,18489,10079,11132,7357
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,actual,1,9,22943,13501,13401,9542
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,actual,2,9,23210,13768,13401,9809
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,actual,3,9,23083,13641,13401,9682
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,upper-tmax-tmin9000,1,8,21664,12202,13517,8147
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,upper-tmax-tmin9000,2,8,21664,12202,13517,8147
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,upper-tmax-tmin9000,3,8,20950,11488,13517,7433
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,tmin-scaled,1,12,22669,13284,13055,9614
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,tmin-scaled,2,12,22927,13542,13055,9872
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,tmin-scaled,3,12,22157,12772,13055,9102
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,service-floor,1,10,20613,11190,13285,7328
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,service-floor,2,10,20613,11190,13285,7328
